"filename", "language", "XML", "C#", "Markdown", "JSON", "comment", "blank", "total"
"d:\Working\MlkAdmin\3_Infrastructure\Implementations\Managers\DynamicMessageManager.cs", "C#", 0, 122, 0, 0, 0, 8, 130
"d:\Working\MlkAdmin\3_Infrastructure\Implementations\Managers\EmbedManager.cs", "C#", 0, 39, 0, 0, 1, 5, 45
"d:\Working\MlkAdmin\3_Infrastructure\Implementations\Services\DiscordService.cs", "C#", 0, 78, 0, 0, 0, 12, 90
"d:\Working\MlkAdmin\3_Infrastructure\Implementations\Services\GuildChannelsRepository.cs", "C#", 0, 264, 0, 0, 0, 35, 299
"d:\Working\MlkAdmin\3_Infrastructure\Implementations\Services\GuildMembersRepository.cs", "C#", 0, 193, 0, 0, 0, 33, 226
"d:\Working\MlkAdmin\3_Infrastructure\Implementations\Services\GuildRolesService.cs", "C#", 0, 167, 0, 0, 0, 30, 197
"d:\Working\MlkAdmin\3_Infrastructure\Interfaces\IDiscordService.cs", "C#", 0, 11, 0, 0, 0, 3, 14
"d:\Working\MlkAdmin\4_Presentation\DI\Registration.cs", "C#", 0, 119, 0, 0, 0, 12, 131
"d:\Working\MlkAdmin\4_Presentation\Discord\DiscordEventsListener.cs", "C#", 0, 196, 0, 0, 0, 20, 216
"d:\Working\MlkAdmin\4_Presentation\Discord\DiscordSlashCommandAdder.cs", "C#", 0, 55, 0, 0, 0, 9, 64
"d:\Working\MlkAdmin\4_Presentation\Extensions\JsonProviderServiceCollectionExtensions.cs", "C#", 0, 19, 0, 0, 0, 4, 23
"d:\Working\MlkAdmin\4_Presentation\PresentationServices\DiscordBotHostService.cs", "C#", 0, 35, 0, 0, 0, 6, 41
"d:\Working\MlkAdmin\4_Presentation\Startup.cs", "C#", 0, 25, 0, 0, 0, 4, 29
"d:\Working\MlkAdmin\MlkAdmin.csproj", "XML", 24, 0, 0, 0, 0, 1, 25
"d:\Working\MlkAdmin\README.md", "Markdown", 0, 0, 116, 0, 0, 19, 135
"d:\Working\MlkAdmin\Shared\DTOs\DiscordComponents\SelectionMenuConfigDto.cs", "C#", 0, 12, 0, 0, 0, 3, 15
"d:\Working\MlkAdmin\Shared\DTOs\GuildData\GuildMemberStatsData.cs", "C#", 0, 17, 0, 0, 0, 5, 22
"d:\Working\MlkAdmin\Shared\DTOs\GuildData\GuildRoleInfo.cs", "C#", 0, 18, 0, 0, 0, 7, 25
